method,dataset,n_folds,auc_mean,auc_std,acc_mean,bacc_mean,f1_mean,n_features_mean,feature_ratio_mean,stability,runtime_mean_sec
variance,Bladder_GSE31189.csv,25,0.5289,0.1318,0.5224,0.5197,0.555,50.0,0.0009,0.0008,0.01
variance,Breast_GSE70947.csv,25,0.8838,0.0332,0.818,0.8178,0.8115,50.0,0.0014,0.0023,0.02
variance,Colorectal_GSE44076.csv,25,0.9967,0.0078,0.9763,0.9761,0.9754,50.0,0.001,0.0027,0.02
variance,Colorectal_GSE44861.csv,25,0.8178,0.0941,0.7581,0.7573,0.7413,50.0,0.0022,0.0021,0.0
variance,Leukemia_GSE63270.csv,25,0.9782,0.0545,0.9464,0.9428,0.9564,50.0,0.0009,0.0022,0.01
variance,Liver_GSE14520_U133A.csv,25,0.9662,0.0178,0.9244,0.9246,0.9241,50.0,0.0022,0.0021,0.03
variance,Liver_GSE76427.csv,25,0.935,0.0521,0.874,0.8474,0.9097,50.0,0.0011,0.0012,0.02
variance,Lung_GSE19804.csv,25,0.9597,0.0303,0.8946,0.8941,0.8898,50.0,0.0009,0.0017,0.01
variance,Pancreatic_GSE16515.csv,25,0.8633,0.1455,0.7807,0.7123,0.8501,50.0,0.0009,0.0018,0.01
variance,Prostate_GSE6919_U95Av2.csv,25,0.6591,0.0947,0.6312,0.6308,0.6307,50.0,0.004,0.0021,0.0
variance,Renal_GSE53757.csv,25,0.8241,0.0689,0.7706,0.7705,0.7698,50.0,0.0009,0.001,0.02
anova,Bladder_GSE31189.csv,25,0.6338,0.1205,0.5859,0.5772,0.6329,50.0,0.0009,0.1631,0.04
anova,Breast_GSE70947.csv,25,0.9335,0.0351,0.8783,0.8779,0.8715,50.0,0.0014,0.4879,0.08
anova,Colorectal_GSE44076.csv,25,0.9999,0.0005,0.9928,0.9927,0.9926,50.0,0.001,0.6713,0.08
anova,Colorectal_GSE44861.csv,25,0.908,0.0506,0.8571,0.8569,0.8512,50.0,0.0022,0.511,0.03
anova,Leukemia_GSE63270.csv,25,1.0,0.0,1.0,1.0,1.0,50.0,0.0009,0.6,0.06
anova,Liver_GSE14520_U133A.csv,25,0.9832,0.0136,0.9608,0.9608,0.9611,50.0,0.0022,0.7294,0.06
anova,Liver_GSE76427.csv,25,0.9755,0.0276,0.9491,0.9386,0.9636,50.0,0.0011,0.6987,0.06
anova,Lung_GSE19804.csv,25,0.9899,0.016,0.9578,0.9577,0.9582,50.0,0.0009,0.6332,0.06
anova,Pancreatic_GSE16515.csv,25,0.9357,0.067,0.8735,0.8483,0.9101,50.0,0.0009,0.4081,0.04
anova,Prostate_GSE6919_U95Av2.csv,25,0.6666,0.0908,0.6327,0.6341,0.6291,50.0,0.004,0.4301,0.01
anova,Renal_GSE53757.csv,25,0.8814,0.0576,0.8374,0.8369,0.8344,50.0,0.0009,0.3388,0.07
mrmr,Bladder_GSE31189.csv,25,0.6794,0.1129,0.6329,0.6224,0.6855,50.0,0.0009,0.1485,3.71
mrmr,Breast_GSE70947.csv,25,0.9363,0.0285,0.8838,0.8835,0.8778,50.0,0.0014,0.4725,4.14
mrmr,Colorectal_GSE44076.csv,25,0.9999,0.0005,0.9928,0.9927,0.9926,50.0,0.001,0.6676,4.03
mrmr,Colorectal_GSE44861.csv,25,0.8956,0.0516,0.8209,0.8203,0.8154,50.0,0.0022,0.4451,4.16
mrmr,Leukemia_GSE63270.csv,25,1.0,0.0,1.0,1.0,1.0,50.0,0.0009,0.6122,4.63
mrmr,Liver_GSE14520_U133A.csv,25,0.9824,0.0138,0.963,0.9631,0.9633,50.0,0.0022,0.682,4.67
mrmr,Liver_GSE76427.csv,25,0.9744,0.0266,0.9515,0.9426,0.9652,50.0,0.0011,0.7051,3.64
mrmr,Lung_GSE19804.csv,25,0.9909,0.0144,0.9542,0.9542,0.955,50.0,0.0009,0.6185,3.55
mrmr,Pancreatic_GSE16515.csv,25,0.934,0.0725,0.8778,0.8439,0.9148,50.0,0.0009,0.3624,3.57
mrmr,Prostate_GSE6919_U95Av2.csv,25,0.6874,0.0844,0.6249,0.6245,0.6319,50.0,0.004,0.1875,3.59
mrmr,Renal_GSE53757.csv,25,0.8813,0.0491,0.8419,0.8415,0.8388,50.0,0.0009,0.2807,3.41
relieff,Bladder_GSE31189.csv,25,0.6952,0.1343,0.6471,0.6357,0.6946,50.0,0.0009,0.1212,1.92
relieff,Breast_GSE70947.csv,25,0.949,0.0209,0.8935,0.8931,0.8875,50.0,0.0014,0.5375,5.16
relieff,Colorectal_GSE44076.csv,25,1.0,0.0,0.9949,0.9948,0.9947,50.0,0.001,0.7191,3.4
relieff,Colorectal_GSE44861.csv,25,0.92,0.0419,0.861,0.8603,0.859,50.0,0.0022,0.5666,2.42
relieff,Leukemia_GSE63270.csv,25,1.0,0.0,0.998,0.9983,0.9983,50.0,0.0009,0.6216,2.25
relieff,Liver_GSE14520_U133A.csv,25,0.9775,0.015,0.9613,0.9614,0.9615,50.0,0.0022,0.6726,5.89
relieff,Liver_GSE76427.csv,25,0.9718,0.0297,0.9527,0.9446,0.9661,50.0,0.0011,0.6705,3.1
relieff,Lung_GSE19804.csv,25,0.9912,0.0148,0.9542,0.9541,0.9548,50.0,0.0009,0.5587,2.49
relieff,Pancreatic_GSE16515.csv,25,0.93,0.0753,0.8811,0.8537,0.9164,50.0,0.0009,0.5101,0.85
relieff,Prostate_GSE6919_U95Av2.csv,25,0.7042,0.0895,0.6553,0.6554,0.6624,50.0,0.004,0.2564,2.26
relieff,Renal_GSE53757.csv,25,0.8616,0.0599,0.8331,0.8325,0.8293,50.0,0.0009,0.2432,2.64
l1_logistic,Bladder_GSE31189.csv,25,0.6022,0.1315,0.5694,0.566,0.6069,14.2,0.0003,0.0964,0.25
l1_logistic,Breast_GSE70947.csv,25,0.9497,0.0229,0.9053,0.9049,0.9009,66.9,0.0019,0.2846,0.27
l1_logistic,Colorectal_GSE44076.csv,25,1.0,0.0,0.9959,0.9958,0.9957,63.4,0.0013,0.3276,0.27
l1_logistic,Colorectal_GSE44861.csv,25,0.8851,0.0574,0.8362,0.8354,0.8364,12.4,0.0006,0.2643,0.09
l1_logistic,Leukemia_GSE63270.csv,25,1.0,0.0,1.0,1.0,1.0,17.1,0.0003,0.5419,0.2
l1_logistic,Liver_GSE14520_U133A.csv,25,0.9873,0.0116,0.9725,0.9727,0.9726,60.6,0.0027,0.3417,0.22
l1_logistic,Liver_GSE76427.csv,25,0.9657,0.0335,0.9527,0.948,0.9658,25.9,0.0005,0.3475,0.23
l1_logistic,Lung_GSE19804.csv,25,0.9902,0.0138,0.9561,0.9561,0.9564,25.4,0.0005,0.3725,0.19
l1_logistic,Pancreatic_GSE16515.csv,25,0.9302,0.0688,0.8651,0.8426,0.9021,5.1,0.0001,0.1907,0.16
l1_logistic,Prostate_GSE6919_U95Av2.csv,25,0.6924,0.0785,0.6296,0.6289,0.6314,20.0,0.0016,0.1522,0.05
l1_logistic,Renal_GSE53757.csv,25,0.8609,0.0647,0.8263,0.8258,0.8259,47.2,0.0009,0.1526,0.21
linearsvc_l1,Bladder_GSE31189.csv,25,0.6845,0.1178,0.6376,0.6275,0.6879,48.5,0.0009,0.1157,0.05
linearsvc_l1,Breast_GSE70947.csv,25,0.9455,0.0226,0.8852,0.885,0.8809,46.0,0.0013,0.2079,0.09
linearsvc_l1,Colorectal_GSE44076.csv,25,1.0,0.0,0.9969,0.9968,0.9968,31.3,0.0006,0.3153,0.09
linearsvc_l1,Colorectal_GSE44861.csv,25,0.8644,0.076,0.8419,0.8411,0.8329,28.8,0.0013,0.1411,0.03
linearsvc_l1,Leukemia_GSE63270.csv,25,1.0,0.0,1.0,1.0,1.0,27.6,0.0005,0.3433,0.06
linearsvc_l1,Liver_GSE14520_U133A.csv,25,0.987,0.0117,0.9698,0.9698,0.9698,39.2,0.0018,0.2673,0.08
linearsvc_l1,Liver_GSE76427.csv,25,0.971,0.0287,0.9564,0.9517,0.9684,32.8,0.0007,0.2451,0.07
linearsvc_l1,Lung_GSE19804.csv,25,0.9846,0.0222,0.949,0.9489,0.9496,32.2,0.0006,0.1681,0.07
linearsvc_l1,Pancreatic_GSE16515.csv,25,0.94,0.0649,0.8931,0.855,0.926,20.8,0.0004,0.1527,0.04
linearsvc_l1,Prostate_GSE6919_U95Av2.csv,25,0.6701,0.0867,0.6183,0.6178,0.6153,47.5,0.0038,0.1046,0.02
linearsvc_l1,Renal_GSE53757.csv,25,0.8475,0.0636,0.8233,0.8229,0.8219,26.5,0.0005,0.1157,0.08
extratrees,Bladder_GSE31189.csv,25,0.7568,0.107,0.6635,0.6491,0.7154,727.0,0.0133,0.1207,0.15
extratrees,Breast_GSE70947.csv,25,0.956,0.0263,0.9025,0.9023,0.8978,425.8,0.0118,0.2223,0.2
extratrees,Colorectal_GSE44076.csv,25,1.0,0.0,0.998,0.9979,0.9978,192.4,0.0039,0.1295,0.18
extratrees,Colorectal_GSE44861.csv,25,0.8818,0.0618,0.8667,0.866,0.861,484.5,0.0217,0.1692,0.13
extratrees,Leukemia_GSE63270.csv,25,1.0,0.0,1.0,1.0,1.0,267.6,0.0049,0.1446,0.16
extratrees,Liver_GSE14520_U133A.csv,25,0.9867,0.0101,0.9675,0.9676,0.9677,263.9,0.0118,0.1995,0.18
extratrees,Liver_GSE76427.csv,25,0.972,0.0275,0.9527,0.9469,0.9658,328.8,0.0069,0.1723,0.17
extratrees,Lung_GSE19804.csv,25,0.9881,0.0189,0.956,0.9559,0.9561,289.3,0.0053,0.1483,0.17
extratrees,Pancreatic_GSE16515.csv,25,0.9321,0.072,0.8655,0.8353,0.9051,367.6,0.0067,0.1107,0.14
extratrees,Prostate_GSE6919_U95Av2.csv,25,0.6986,0.0786,0.6567,0.6564,0.656,715.2,0.0566,0.1937,0.13
extratrees,Renal_GSE53757.csv,25,0.8765,0.0562,0.8263,0.8257,0.8213,422.9,0.0077,0.1428,0.18
rfecv,Bladder_GSE31189.csv,25,0.7756,0.0896,0.6612,0.6497,0.7067,952.0,0.0174,0.1938,0.31
rfecv,Breast_GSE70947.csv,25,0.9526,0.0219,0.8824,0.8821,0.876,464.0,0.0129,0.2328,0.57
rfecv,Colorectal_GSE44076.csv,25,0.9999,0.0005,0.9959,0.9958,0.9958,137.6,0.0028,0.2842,0.39
rfecv,Colorectal_GSE44861.csv,25,0.8771,0.063,0.8438,0.8438,0.8309,360.0,0.0162,0.2147,0.32
rfecv,Leukemia_GSE63270.csv,25,1.0,0.0,0.998,0.9975,0.9984,161.0,0.0029,0.2542,0.31
rfecv,Liver_GSE14520_U133A.csv,25,0.9862,0.012,0.972,0.9721,0.9721,328.0,0.0147,0.299,0.56
rfecv,Liver_GSE76427.csv,25,0.9626,0.0323,0.9382,0.9297,0.9554,168.8,0.0036,0.2055,0.4
rfecv,Lung_GSE19804.csv,25,0.9881,0.0175,0.9508,0.9504,0.9502,216.2,0.004,0.2498,0.34
rfecv,Pancreatic_GSE16515.csv,25,0.9212,0.0758,0.8582,0.8182,0.9014,184.4,0.0034,0.1559,0.17
rfecv,Prostate_GSE6919_U95Av2.csv,25,0.6906,0.081,0.6377,0.6371,0.6332,536.0,0.0425,0.1713,0.34
rfecv,Renal_GSE53757.csv,25,0.8634,0.0611,0.8194,0.8192,0.8154,346.2,0.0063,0.0754,0.39
